# Per-episode frame counts (h1, plant_collection raw), pure-CPU mcap-summary read (no GPU/VIO).
# frame = one message on /camera/coracam_lefthand/left_h264/video (one encoded frame, one wrist camera).
# Recording duration ~constant ~11s; fps ~28-30; FRAMES vary 73-461 (median 228/wrist) -> frames scale with size, NOT duration.
# => throughput per-FRAME is size-invariant; per-EPISODE is not (episodes 15-132 MB, 73-461 frames).
# both wrists ~= 2x single-wrist frames ~= 456 frames/episode (median).
size_MB,n_frames_per_wrist,duration_s,fps
62.5,325,10.9,29.7
63.5,187,6.9,27.0
65.8,337,12.1,27.8
68.1,280,9.7,29.0
70.7,347,11.8,29.5
75.8,330,11.8,27.9
80.0,374,12.5,30.0
85.1,358,12.8,27.9
91.9,422,14.1,30.0
99.7,371,13.1,28.4
132.3,461,16.1,28.6
# SUMMARY (n=60): size_MB[min/med/max]=15/54/132  frames/wrist[min/med/max]=73/228/461  frames_per_MB=4.3
#
# DERIVED SIZE-INVARIANT UNITS:
#   both-wrist frames/episode (median) ~= 456
#   CPU cost = C/frames = 234.4 core-s / 456 fr = 0.51 core-seconds per frame
#   per-frame perception latency = 29s / 228 fr ~= 127 ms/frame (incl. paced-replay + ROS serialization overhead)
#   PAR=64 throughput 1196 ep/hr = 545,000 frames/hr = 151 frames/s (8 GPUs)
#   CPU roofline = 192 cores * 3600 / 0.51 = 1.36M frames/hr (observed 545k = 40% of it -> same soft-bottleneck conclusion, frame-normalized)
