# Same-GPU concurrency (4C) + MPS A/B (4E), h2 GPU0 idle, one wrist build_map per proc.
# maxwall_s = wall for the WHOLE set of N concurrent wrists; med_proc_wall_s = median single-proc latency.
# gpu_busy_s = integral of dmon sm% over time (1Hz); sm_avg/max = engine-active %. wrists_per_hr = N*3600/maxwall.
# CAVEAT: different N use different episode SETS (first-N size-sorted) -> cross-N raw throughput has episode-mix noise.
#   Clean comparisons: MPS off-vs-on (SAME N=8 SAME episodes), sm% curve (episode-independent), latency inflation.
tag,N,mps,maxwall_s,med_proc_wall_s,gpu_busy_s,sm_avg_pct,sm_max_pct,wrists_per_hr
n1,1,off,34.3,34.3,0.6,2,7,105
n2,2,off,67.2,50.85,1.5,2,14,107
n4,4,off,67.3,42.05,3.1,5,50,214
n6,6,off,68.5,48.35,4.6,7,28,315
n8,8,off,68.4,48.05,4.7,7,27,421
n8_mps,8,on,68.6,48.0,4.5,7,30,420
#
# HEADLINE: MPS off=421 vs on=420 wrists/hr -> MPS gives ZERO gain (-0.2%). sm% unchanged (7%).
#   => bottleneck is NOT GPU-context time-slice serialization (if it were, MPS would break it and help).
#   MPS does nothing because there is no context-switch contention to relieve: GPU is only ~7% engine-active at N=8.
# SCALING: wall FLAT ~68s from N=2..8 while throughput scales ~linearly 107->421 (~4x for 4x procs).
#   => one GPU absorbs ~8 concurrent VIO processes fine (8x work fits in ~2x single-proc wall). GPU is NOT the wall.
# CLEAN GPU-seconds: at N=8, aggregate gpu_busy=4.7s over 68.4s wall for 8 wrists -> ~0.59 GPU-busy-s/wrist,
#   i.e. ~1.2 GPU-s per 2-wrist EPISODE. GPU-compute ceiling = 8 GPU * 3600 / 1.2 ~ 24000 ep/hr (huge; GPU never the wall).
#   (N=1 sm-integral 0.6s is 1Hz-aliased low for a single bursty proc; N=8 overlapping bursts give the honest integral.)
